Cutomer_ID,Customer Name,Gender,Age,Number,City,Phone,Latest Visit Date,,,,,
C000001,NIMISHA ROY,F,43,1,Chennai,+91 989569672,2/18/2023,,,,,
C000002,DEEPAK KUMAR SHARMA,M,43,2,Kolkata,+91 873738814,12/2/2023,,,,,
C000003,DEEPIKA NETAM,F,51,3,Bengaluru,+91 855759168,8/25/2023,,,,,
C000004,Rituparna Das,F,23,4,Kolkata,+91 976536191,3/16/2023,,,,,
C000005,RISHABH SINGH,M,58,5,Bengaluru,+91 770489590,10/10/2024,,,,,
C000006,ABHISHEK SINGH,M,21,6,Delhi,+91 935191750,7/1/2023,,,,,
C000007,ankita tripathi,F,27,7,Delhi,+91 895020634,11/4/2024,,,,,
C000008,NILAM KUMARI,F,65,8,Chennai,+91 984709821,6/11/2024,,,,,
C000009,Monica,F,43,9,Delhi,+91 843748997,10/16/2023,,,,,
C000010,STUTI MALAVIYA,F,35,10,Bengaluru,+91 957619621,7/21/2024,,,,,
C000011,soumendra debata,M,51,11,Pune,+91 773001630,6/7/2024,,,,,
C000012,SHITLESH KUMAR SHRIVAS,M,59,12,Mumbai,+91 980180612,12/12/2023,,,,,
C000013,Sushmita jaiswal,F,54,13,Pune,+91 900382666,12/9/2023,,,,,
C000014,Mudita Jain,F,51,14,Hyderabad,+91 788196115,6/16/2024,,,,,
C000015,ABHINAV PRAKASH,M,31,15,Chennai,+91 757232109,9/28/2024,,,,,
C000016,ANIKET PATRA,M,38,16,Goa,+91 979228397,5/22/2023,,,,,
C000017,CHILUKURI VENKAT RAMYA,F,52,17,Kolkata,+91 927693873,3/31/2023,,,,,
C000018,A. RAGHU,M,18,18,Hyderabad,+91 995727403,5/2/2024,,,,,
C000019,PUSHPAVATHI S Y,F,50,19,Goa,+91 919130370,12/11/2024,,,,,
C000020,SUMIT KUMAR TIWARI,M,62,20,Bengaluru,+91 798076833,3/19/2024,,,,,
C000021,ANSHUMAN TIWARI,M,41,21,Bengaluru,+91 725410430,1/9/2023,,,,,
C000022,NARENDRA GADE,M,44,22,Mumbai,+91 835780875,2/7/2024,,,,,
C000023,ABHISHEK DE,M,36,23,Pune,+91 800810403,12/6/2023,,,,,
C000024,ROMIN DEEPAKKUMAR PARIKH,M,58,24,Chennai,+91 900456727,1/23/2025,,,,,
C000025,DURGA MADHAB PALAI,M,60,25,Delhi,+91 871638324,12/18/2024,,,,,
C000026,samarpan jain,M,24,26,Mumbai,+91 795422722,6/16/2024,,,,,
C000027,Thorlapati John Melchi,M,63,27,Pune,+91 945612275,1/7/2023,,,,,
C000028,POOJA NAIK,F,40,28,Pune,+91 869401248,7/24/2023,,,,,
C000029,AKUL SINGH,M,22,29,Goa,+91 751605757,6/25/2023,,,,,
C000030,SUJAYA SAHOO,F,30,30,Mumbai,+91 700330692,2/21/2024,,,,,
C000031,umesh,M,48,31,Chennai,+91 992849749,11/20/2023,,,,,
C000032,SUMIT KUMAR VERMA,M,35,32,Pune,+91 938544635,6/27/2023,,,,,
C000033,JAI KUMAR KUSHWAHA,M,50,33,Bengaluru,+91 824580411,7/16/2023,,,,,
C000034,SUJATA,F,52,34,Delhi,+91 880497032,12/3/2024,,,,,
C000035,Garima Dwivedi,F,58,35,Delhi,+91 968859603,9/25/2024,,,,,
C000036,ABHIJEET G. GHOGARE,M,36,36,Chennai,+91 715842784,8/5/2024,,,,,
C000037,ANNU SHARMA,M,57,37,Kolkata,+91 887622559,10/6/2023,,,,,
C000038,aaruni kumar,M,41,38,Hyderabad,+91 953013246,1/10/2023,,,,,
C000039,MONAJ DAS,M,29,39,Bengaluru,+91 978525661,6/20/2023,,,,,
C000040,PALAK ARORA,F,31,40,Bengaluru,+91 832235309,2/20/2023,,,,,
C000041,ANKIT SINGHAL,M,35,41,Pune,+91 907335865,1/24/2025,,,,,
C000042,AMAR KUMAR,M,62,42,Goa,+91 959509526,5/17/2024,,,,,
C000043,KSHITIJ MUNISHWAR KAWLE,M,23,43,Bengaluru,+91 956501356,6/30/2023,,,,,
C000044,KUMARI KANCHAN JAYA,F,34,44,Mumbai,+91 909292994,3/28/2023,,,,,
C000045,EKTA KOHLE,F,24,45,Bengaluru,+91 703063899,9/11/2024,,,,,
C000046,DIPTIMAN DEY,M,35,46,Kolkata,+91 863670202,12/28/2024,,,,,
C000047,SAUMYA GUPTA,F,51,47,Delhi,+91 949911418,2/16/2024,,,,,
C000048,AJITA MISHRA,F,65,48,Kolkata,+91 916939718,4/23/2024,,,,,
C000049,BISWAJIT MONDAL,M,20,49,Kolkata,+91 750695420,6/9/2023,,,,,
C000050,NAUSHAD AHMED,M,38,50,Hyderabad,+91 853655099,9/19/2024,,,,,
C000051,VIVEK MAHAJAN,M,49,51,Pune,+91 809383648,11/20/2023,,,,,
C000052,GURPINDER SINGH,M,28,52,Delhi,+91 877253185,5/23/2024,,,,,
C000053,Lavanya S,F,50,53,Pune,+91 902607968,1/18/2023,,,,,
C000054,MALOTH KALYANI,F,41,54,Goa,+91 870294280,3/17/2024,,,,,
C000055,Mende Suresh,M,26,55,Chennai,+91 958665762,9/28/2023,,,,,
C000056,Sarita prasad,F,30,56,Chennai,+91 947370193,4/16/2023,,,,,
C000057,PRIYAL KUMARI,F,31,57,Mumbai,+91 821219546,8/21/2024,,,,,
C000058,DIBYA JYOTIRMAYEE SAHU,F,18,58,Bengaluru,+91 923131881,8/17/2024,,,,,
C000059,AVANIGADDA SRINIVASA RAO,M,19,59,Chennai,+91 863314121,3/5/2024,,,,,
C000060,EBY K SAJAN,M,37,60,Kolkata,+91 986771211,7/15/2024,,,,,
C000061,SUDATTA PRIYADARSHINEE,F,36,61,Mumbai,+91 800683283,11/14/2024,,,,,
C000062,JAI TIWARI,M,36,62,Pune,+91 733276655,8/23/2023,,,,,
C000063,Mona Nagsen Wankhede,F,41,63,Hyderabad,+91 742514290,2/4/2023,,,,,
